"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin","ARk","ALg","AG","AW","AL","AW.L.","AStrk","AR","ARA","ARdiff","ASOS","ASRS","ApythWL","ALuck","AInter","AHome","ARoad","AExInn","A1Run","AvRHP","AvLHP","Aabv500","Abel500","Alast10","Alast20","Alast30","AGB","ADAY","ANIGHT","AGRASS","ATURF","AExWL","ALuckperG","AOneRunPct","ADAYpct","ADAYdiff","ANIGHTpct","ANIGHTdiff","AInterpct","AInterdiff","AHomepct","AHomediff","ARoadpct","ARoaddiff","AExInnpct","AExInndiff","A1Runpct","A1Rundiff","AvRHPpct","AvRHPdiff","AvLHPpct","AvLHPdiff","Aabv500pct","Aabv500diff","Abel500pct","Abel500diff","Alast10pct","Alast10diff","Alast20pct","Alast20diff","Alast30pct","Alast30diff","AGRASSpct","AGRASSdiff","ATURFpct","ATURFdiff","HRk","HLg","HG","HW","HL","HW.L.","HStrk","HR","HRA","HRdiff","HSOS","HSRS","HpythWL","HLuck","HInter","HHome","HRoad","HExInn","H1Run","HvRHP","HvLHP","Habv500","Hbel500","Hlast10","Hlast20","Hlast30","HGB","HDAY","HNIGHT","HGRASS","HTURF","HExWL","HLuckperG","HOneRunPct","HDAYpct","HDAYdiff","HNIGHTpct","HNIGHTdiff","HInterpct","HInterdiff","HHomepct","HHomediff","HRoadpct","HRoaddiff","HExInnpct","HExInndiff","H1Runpct","H1Rundiff","HvRHPpct","HvRHPdiff","HvLHPpct","HvLHPdiff","Habv500pct","Habv500diff","Hbel500pct","Hbel500diff","Hlast10pct","Hlast10diff","Hlast20pct","Hlast20diff","Hlast30pct","Hlast30diff","HGRASSpct","HGRASSdiff","HTURFpct","HTURFdiff","AB.GP","AB.W","AB.L","AB.ERA","AB.IP","AB.ER","AB.R","AB.BB","AB.SO","AB.BAA","AB.IperG","HB.GP","HB.W","HB.L","HB.ERA","HB.IP","HB.ER","HB.R","HB.BB","HB.SO","HB.BAA","HB.IperG","AP.Age","AP.W","AP.L","AP.W.L.","AP.ERA","AP.G","AP.GS","AP.GF","AP.CG","AP.SHO","AP.SV","AP.IP","AP.H","AP.R","AP.ER","AP.HR","AP.BB","AP.IBB","AP.SO","AP.HBP","AP.BK","AP.WP","AP.BF","AP.ERA.","AP.FIP","AP.WHIP","AP.H9","AP.HR9","AP.BB9","AP.SO9","AP.SO.W","AP.lefty","AP.IPG","AP.WtERA","HP.Age","HP.W","HP.L","HP.W.L.","HP.ERA","HP.G","HP.GS","HP.GF","HP.CG","HP.SHO","HP.SV","HP.IP","HP.H","HP.R","HP.ER","HP.HR","HP.BB","HP.IBB","HP.SO","HP.HBP","HP.BK","HP.WP","HP.BF","HP.ERA.","HP.FIP","HP.WHIP","HP.H9","HP.HR9","HP.BB9","HP.SO9","HP.SO.W","HP.lefty","HP.IPG","HP.WtERA"
"BAL","PIT","Kevin Gausman","Trevor Williams","Night","Grass",-120,110,"PIT",9,TRUE,18,"AL",157,75,82,0.478,1,4.7,5.2,-0.5,0.3,-0.2,"72-85",3,"8-10","46-35","29-47","12-4","21-19","49-59","26-23","25-46","50-36","3-7","5-15","13-17",25,"23-25","52-57","66-75","9-7","71-86",0.019,0.255,0.479,0.001,0.477,-0.001,0.444,-0.034,0.568,0.09,0.382,-0.096,0.75,0.272,0.525,0.047,0.454,-0.024,0.531,0.053,0.352,-0.126,0.581,0.103,0.3,-0.178,0.25,-0.228,0.433,-0.045,0.468,-0.00999999999999995,0.562,0.0840000000000001,23,"NL",156,71,85,0.455,2,4.1,4.5,-0.5,-0.1,-0.6,"70-86",1,"8-10","42-37","29-48","8-9","20-23","55-61","16-24","38-48","33-37","3-7","7-13","11-19",28.5,"27-22","44-63","70-83","1-2","69-87",0.006,0.276,0.551,0.096,0.411,-0.044,0.444,-0.011,0.532,0.077,0.377,-0.078,0.471,0.016,0.465,0.01,0.474,0.019,0.4,-0.055,0.442,-0.013,0.471,0.016,0.3,-0.155,0.35,-0.105,0.367,-0.088,0.458,0.003,0.333,-0.122,156,30,18,3.84,576.1,246,270,216,491,0.252,3.66942675159236,154,25,27,3.87,521.1,224,244,204,475,0.248,3.34038461538462,26,11,10,0.524,4.61,32,32,0,0,0,0,175.2,197,92,90,27,69,0,165,4,1,8,770,93,4.52,1.514,10.1,1.4,3.5,8.5,2.39,FALSE,5.475,4.306746867887,25,6,9,0.4,4.18,30,24,1,0,0,0,144.1,142,72,67,13,51,4,111,8,0,2,619,103,4.01,1.337,8.9,0.8,3.2,6.9,2.18,FALSE,4.80333333333333,4.04053334806956
"WSN","PHI","Gio Gonzalez","Jake Thompson","Night","Grass",-155,145,"PHI",3,TRUE,4,"NL",156,95,61,0.609,3,5.1,4.1,1,-0.4,0.6,"93-63",2,"10-10","45-32","50-29","7-4","29-21","73-47","22-14","23-19","72-42","6-4","13-7","19-11",4.5,"28-28","67-33","95-61","0-0","94-62",0.013,0.321,0.5,-0.109,0.67,0.0610000000000001,0.5,-0.109,0.584,-0.025,0.633,0.024,0.636,0.027,0.58,-0.029,0.608,-0.001,0.611,0.002,0.548,-0.0609999999999999,0.632,0.023,0.6,-0.00900000000000001,0.65,0.041,0.633,0.024,0.609,0,NA,NA,29,"NL",157,62,95,0.395,-1,4.2,4.9,-0.7,-0.1,-0.8,"68-89",-6,"5-15","35-41","27-54","7-9","21-36","39-74","23-21","21-43","41-52","5-5","10-10","15-15",38,"25-31","37-64","62-95","0-0","67-90",-0.038,0.363,0.446,0.051,0.366,-0.029,0.25,-0.145,0.461,0.066,0.333,-0.062,0.438,0.043,0.368,-0.027,0.345,-0.05,0.523,0.128,0.328,-0.067,0.441,0.046,0.5,0.105,0.5,0.105,0.5,0.105,0.395,0,NA,NA,153,24,17,4.35,452.2,219,230,152,422,0.255,2.89871794871795,156,22,33,4.29,528.2,252,269,212,519,0.256,3.36433121019108,31,15,7,0.682,2.68,30,30,0,0,0,0,191.2,146,60,57,21,71,5,179,6,0,6,779,166,3.91,1.132,6.9,1,3.3,8.4,2.52,TRUE,6.37333333333333,3.17460411070411,23,2,2,0.5,4.14,10,7,1,0,0,0,41.1,46,26,19,8,20,0,30,4,0,1,189,104,5.96,1.597,10,1.7,4.4,6.5,1.5,FALSE,4.11,4.21090507784855
"TBR","NYY","Blake Snell","Jordan Montgomery","Night","Grass",155,-175,"NYY",5,TRUE,15,"AL",156,76,80,0.487,-1,4.3,4.4,-0.1,0.2,0.1,"76-80",0,"11-9","39-39","37-41","8-6","20-24","58-52","18-28","30-35","46-45","4-6","8-12","15-15",23.5,"26-29","50-51","35-37","41-43","76-80",0,0.282,0.473,-0.014,0.495,0.00800000000000001,0.55,0.0630000000000001,0.5,0.013,0.474,-0.013,0.571,0.084,0.455,-0.032,0.527,0.04,0.391,-0.096,0.462,-0.025,0.505,0.018,0.4,-0.087,0.4,-0.087,0.5,0.013,0.486,-0.001,0.488,0.001,8,"AL",156,87,69,0.558,1,5.3,4.1,1.2,0.1,1.3,"96-60",-9,"15-5","47-28","40-41","5-6","17-25","64-47","23-22","26-22","61-47","7-3","14-6","19-11",12.5,"32-26","55-43","81-59","6-10","97-59",-0.058,0.269,0.552,-0.00600000000000001,0.561,0.003,0.75,0.192,0.627,0.069,0.494,-0.0640000000000001,0.455,-0.103,0.405,-0.153,0.577,0.0189999999999999,0.511,-0.047,0.542,-0.016,0.565,0.0069999999999999,0.7,0.142,0.7,0.142,0.633,0.075,0.579,0.0209999999999999,0.375,-0.183,156,26,31,3.83,518.2,221,240,192,480,0.236,3.32179487179487,154,29,23,3.38,519,195,209,216,631,0.207,3.32692307692308,24,4,6,0.4,4.01,22,22,0,0,0,0,121.1,107,61,54,14,55,1,105,0,0,6,512,104,4.28,1.335,7.9,1,4.1,7.8,1.91,TRUE,5.50454545454545,3.94073409306743,24,8,7,0.533,4.06,27,27,0,0,0,0,144,132,70,65,21,49,0,136,1,1,6,606,112,4.2,1.257,8.3,1.3,3.1,8.5,2.78,TRUE,5.33333333333333,3.78697382478632
"TOR","BOS","J.A. Happ","Chris Sale","Night","Grass",210,-240,"TOR",-5,FALSE,20,"AL",157,74,83,0.471,2,4.3,4.9,-0.6,0.3,-0.3,"70-87",4,"9-11","42-39","32-44","5-14","25-26","58-60","16-23","25-38","49-45","6-4","11-9","14-16",26,"31-27","43-56","28-38","46-45","69-88",0.025,0.325,0.534,0.0630000000000001,0.434,-0.037,0.45,-0.021,0.519,0.048,0.421,-0.05,0.263,-0.208,0.49,0.019,0.492,0.021,0.41,-0.061,0.397,-0.074,0.521,0.05,0.6,0.129,0.55,0.0790000000000001,0.467,-0.00399999999999995,0.424,-0.047,0.505,0.034,5,"AL",156,91,65,0.583,-1,4.9,4,0.8,0.1,0.9,"91-65",0,"16-4","46-29","45-36","15-3","22-17","73-47","18-18","26-20","65-45","8-2","14-6","18-12",8.5,"24-23","67-42","78-60","13-5","92-64",0,0.25,0.511,-0.072,0.615,0.032,0.8,0.217,0.613,0.03,0.556,-0.0269999999999999,0.833,0.25,0.564,-0.019,0.608,0.025,0.5,-0.083,0.565,-0.018,0.591,0.00800000000000001,0.8,0.217,0.7,0.117,0.6,0.017,0.565,-0.018,0.722,0.139,155,28,26,4.24,578,272,294,207,611,0.241,3.68152866242038,151,29,14,3,504.2,168,179,168,547,0.223,3.23205128205128,34,9,11,0.45,3.64,24,24,0,0,0,0,138.1,141,63,56,18,46,1,133,0,0,4,601,126,3.92,1.352,9.2,1.2,3,8.7,2.89,TRUE,5.75416666666667,3.86139688117725,28,17,7,0.708,2.75,31,31,0,1,0,0,209.1,157,68,64,20,41,0,300,7,0,3,826,164,2.21,0.946,6.8,0.9,1.8,12.9,7.32,TRUE,6.74516129032258,2.81640451883507
"MIN","CLE","Bartolo Colon","Josh Tomlin","Night","Grass",180,-200,"MIN",-2,FALSE,10,"AL",156,82,74,0.526,4,5.1,4.9,0.2,0.1,0.2,"80-76",2,"13-7","39-39","43-35","3-3","15-17","57-51","25-23","19-29","63-45","5-5","11-9","17-13",17.5,"27-32","55-42","79-71","3-3","80-76",0.013,0.205,0.458,-0.068,0.567,0.0409999999999999,0.65,0.124,0.5,-0.026,0.551,0.025,0.5,-0.026,0.469,-0.0570000000000001,0.528,0.002,0.521,-0.005,0.396,-0.13,0.583,0.0569999999999999,0.5,-0.026,0.55,0.024,0.567,0.0409999999999999,0.527,0.001,0.5,-0.026,2,"AL",156,98,58,0.628,2,5.1,3.5,1.5,-0.1,1.5,"103-53",-5,"6-14","45-30","53-28","4-2","20-14","63-34","35-24","25-21","73-37","8-2","18-2","28-2",1.5,"37-17","61-41","94-55","4-3","105-51",-0.032,0.218,0.685,0.0570000000000001,0.598,-0.03,0.3,-0.328,0.6,-0.028,0.654,0.026,0.667,0.039,0.588,-0.04,0.649,0.021,0.593,-0.035,0.543,-0.085,0.664,0.036,0.8,0.172,0.9,0.272,0.933,0.305,0.631,0.003,0.571,-0.0570000000000001,150,22,19,4.46,538.1,267,286,181,456,0.262,3.44935897435897,149,20,20,2.84,468.1,148,166,145,519,0.225,3.00064102564103,44,6,14,0.3,6.63,26,26,0,1,0,0,135.2,186,109,100,27,34,0,84,1,1,1,620,66,5.27,1.622,12.3,1.8,2.3,5.6,2.47,FALSE,5.2,5.72741381766382,32,9,9,0.5,4.98,24,24,0,1,0,0,132,154,75,73,21,14,0,100,4,0,1,546,92,4.11,1.273,10.5,1.4,1,6.8,7.14,FALSE,5.5,4.16824958247372
"ATL","NYM","R.A. Dickey","Rafael Montero","Night","Grass",-108,-102,"NYM",1,TRUE,22,"NL",156,71,85,0.455,-1,4.6,5,-0.4,-0.2,-0.6,"71-85",0,"9-11","37-44","34-41","6-8","19-22","56-71","15-14","25-37","46-48","4-6","11-9","14-16",28.5,"22-28","49-57","69-85","2-0","71-85",0,0.263,0.44,-0.015,0.462,0.00700000000000001,0.45,-0.005,0.457,0.002,0.453,-0.002,0.429,-0.026,0.463,0.00800000000000001,0.441,-0.014,0.517,0.062,0.403,-0.052,0.489,0.034,0.4,-0.055,0.55,0.095,0.467,0.012,0.448,-0.00700000000000001,1,0.545,25,"NL",157,67,90,0.427,1,4.6,5.3,-0.8,-0.1,-0.9,"67-90",0,"7-13","35-44","32-46","2-8","20-24","53-67","14-23","17-49","50-41","4-6","8-12","11-19",33,"15-33","52-57","67-90","0-0","66-91",0,0.28,0.312,-0.115,0.477,0.05,0.35,-0.077,0.443,0.016,0.41,-0.017,0.2,-0.227,0.455,0.028,0.442,0.015,0.378,-0.049,0.258,-0.169,0.549,0.122,0.4,-0.027,0.4,-0.027,0.367,-0.06,0.427,0,NA,NA,156,25,16,4.59,507.2,259,274,213,479,0.243,3.25128205128205,155,19,27,4.8,546,291,309,259,569,0.263,3.47770700636943,42,10,10,0.5,4.32,30,30,0,0,0,0,183.1,188,97,88,25,67,3,132,10,2,13,790,99,4.74,1.391,9.2,1.2,3.3,6.5,1.97,FALSE,6.10333333333333,4.40841978021978,26,5,11,0.313,5.3,32,17,4,0,0,0,110.1,129,67,65,11,61,5,108,4,1,6,507,80,4.26,1.722,10.5,0.9,5,8.8,1.77,FALSE,3.440625,5.0174295201216
